#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/swine/Oklahoma/A02245006/2019|1A.2-3-like|LAIV-98|TTTPPT|2019-03-07, 2019.18, 1.276555, -0.087900
A/swine/Nebraska/A02635998/2021|1A.3.3.2|LAIV-98|TTTPPT|2021-07-30, 2021.58, 1.288303, -0.084973
A/swine/Indiana/A02636016/2021|1A.1.1|LAIV-98|TTTPPT|2021-08-02, 2021.58, 1.273478, -0.099798
A/swine/Iowa/A02525341/2021|1A.1.1|LAIV-98|LLLPPT|2021-04-06, 2021.26, 1.282727, -0.089373
A/swine/Iowa/A02524534/2020|1B.2.2.2|LAIV-98|LLLPPT|2020-08-12, 2020.61, 1.277334, -0.092377
A/swine/North_Carolina/A01076202/2010|1B.2.1|1998B|TTTTTT|2010-03-28, 2010.24, 1.316857, -0.014739
A/swine/North_Carolina/A01076185/2010|1B.2.1|1998B|PPPTPP|2010-01-10, 2010.03, 1.314538, -0.016286
A/swine/North_Carolina/A01076192/2010|1B.2.1|1998B|PTPTPP|2010-02-14, 2010.12, 1.319235, -0.011919
A/swine/Indiana/A01202298/2011|1B.2.1|1998B|TTTTTT|2011-06-28, 2011.49, 1.328411, -0.007779
A/swine/South_Carolina/A01782474/2016|1B.2.1|1998B|TTTTTT|2016-10-18, 2016.79, 1.340708, -0.014963
A/swine/Michigan/A01259001/2012|1B.2.1|1998B|TTTTTT|2012-09-27, 2012.73, 1.329177, -0.011570
A/swine/North_Carolina/A01377460/2014|1B.2.1|1998B|TTTTPT|2014-12-04, 2014.92, 1.331974, -0.016823
A/swine/Iowa/A01667086/2017|1B.2.1|1998B|TTTTPT|2017-03-07, 2017.18, 1.345886, -0.011218
A/swine/Indiana/A01812224/2016|1B.2.1|1998B|TTTTPT|2016-06-01, 2016.41, 1.343655, -0.010618
A/swine/Indiana/A01812062/2015|1B.2.1|1998B|TTTTPT|2015-11-06, 2015.84, 1.339674, -0.012505
A/swine/Indiana/A01260890/2015|1B.2.1|1998B|TTTTPT|2015-05-05, 2015.34, 1.338630, -0.011711
A/swine/Indiana/A01260893/2015|1B.2.1|1998B|TTTTPT|2015-05-06, 2015.35, 1.338630, -0.011748
A/swine/Indiana/A01894974/2016|1B.2.1|1998B|TTPTPT|2016-04-06, 2016.26, 1.341711, -0.012012
A/swine/Illinois/A02214842/2017|1B.2.1|1998B|TTTTPT|2017-04-10, 2017.27, 1.343997, -0.013437
A/swine/Illinois/A01378014/2016|1B.2.1|1998B|TTTTPT|2016-07-01, 2016.5, 1.341675, -0.012929
A/swine/Illinois/A01378013/2016|1B.2.1|1998B|TTTTPT|2016-07-01, 2016.5, 1.340911, -0.013693
A/swine/Michigan/A02479056/2020|1B.2.1|1998B|TTTTPT|2020-02-12, 2020.12, 1.354512, -0.013398
A/swine/Indiana/A01894477/2016|1B.2.1|1998B|TTTTPT|2016-03-29, 2016.24, 1.342483, -0.011166
A/swine/Missouri/A02221494/2017|1B.2.1|1998B|TTTTPT|2017-09-13, 2017.69, 1.349528, -0.009451
A/swine/Michigan/A02077465/2015|1B.2.1|1998B|TTTTPT|2015-05-01, 2015.33, 1.339391, -0.010913
A/swine/Iowa/A01775725/2016|1B.2.1|1998B|TTPTPT|2016-05-19, 2016.38, 1.344022, -0.010141
A/swine/Indiana/A01260943/2015|1B.2.1|1998B|TTTTPT|2015-07-20, 2015.55, 1.340931, -0.010182
A/swine/Indiana/A01260948/2015|1B.2.1|1998B|TTTTPT|2015-07-27, 2015.57, 1.340931, -0.010255
A/swine/North_Carolina/A01048807/2011|1B.2.1|1998B|TTTPTT|2011-11-15, 2011.86, 1.316875, -0.020675
A/swine/North_Carolina/A01270393/2011|1B.2.1|1998B|TTTTTT|2011-12-08, 2011.93, 1.324393, -0.013415
A/swine/North_Carolina/A01410564/2014|1B.2.1|1998B|TTTTPT|2014-03-19, 2014.22, 1.338397, -0.007827
A/swine/North_Carolina/A01290932/2013|1B.2.1|1998B|TTTTPT|2013-12-03, 2013.91, 1.337623, -0.007461
A/swine/Pennsylvania/A02218034/2017|1B.2.1|1998B|TTTPPT|2017-07-05, 2017.51, 1.355928, -0.002388
A/swine/Pennsylvania/A01933903/2017|1B.2.1|1998B|TTTPPT|2017-03-21, 2017.22, 1.349348, -0.007903
A/swine/Pennsylvania/A02636085/2021|1B.2.1|1998B|TTTPPT|2021-08-31, 2021.66, 1.375395, 0.001825
A/swine/Pennsylvania/A02268135/2018|1B.2.1|1998B|TTTTPT|2018-10-24, 2018.81, 1.364235, 0.001140
A/swine/Pennsylvania/A02429857/2019|1B.2.1|1998B|TTTTPT|2019-01-24, 2019.07, 1.372100, 0.008050
A/swine/Pennsylvania/A02138663/2017|1B.2.1|1998B|TTTPPT|2017-12-12, 2017.94, 1.358045, -0.001852
A/swine/Indiana/A02136747/2017|1B.2.1|1998B|TTTPPT|2017-11-17, 2017.87, 1.359591, -0.000049
A/swine/Pennsylvania/A02135726/2017|1B.2.1|1998B|TTTPPT|2017-11-07, 2017.84, 1.365041, 0.005511
A/swine/Pennsylvania/A02223370/2017|1B.2.1|1998B|TTTPPT|2017-10-12, 2017.77, 1.358818, -0.000454
A/swine/Pennsylvania/A02432157/2019|1B.2.1|1998B|TTTPPT|2019-04-08, 2019.27, 1.365006, 0.000220
A/swine/North_Carolina/A02076945/2015|1B.2.1|1998B|TTPTPT|2015-08-07, 2015.59, 1.341534, -0.009726
A/swine/North_Carolina/A01729436/2016|1B.2.1|1998B|TTTTPT|2016-01-12, 2016.03, 1.346239, -0.006638
A/swine/North_Carolina/A01729907/2016|1B.2.1|1998B|TTTTPT|2016-01-20, 2016.05, 1.346240, -0.006710
A/swine/North_Carolina/A01778770/2016|1B.2.1|1998B|TTPTPT|2016-08-23, 2016.64, 1.349328, -0.005791
A/swine/North_Carolina/A01732706/2016|1B.2.1|1998B|TTTTPT|2016-03-02, 2016.17, 1.347007, -0.006384
A/swine/North_Carolina/A01733634/2016|1B.2.1|1998B|TTTTPT|2016-03-14, 2016.2, 1.346239, -0.007263
A/swine/North_Carolina/A01796370/2015|1B.2.1|1998B|TTPTPT|2015-11-13, 2015.86, 1.341513, -0.010739
A/swine/North_Carolina/A01945748/2015|1B.2.1|1998B|TTTTPT|2015-10-19, 2015.79, 1.342321, -0.009674
A/swine/Indiana/A01932256/2017|1B.2.1|1998B|TTTTPT|2017-02-15, 2017.12, 1.349294, -0.007589
A/swine/Colorado/A02635977/2021|1B.2.1|1998B|TTTTPT|2021-07-14, 2021.53, 1.364423, -0.008669
A/swine/North_Carolina/A01774164/2016|1B.2.1|1998B|TTTTPT|2016-04-22, 2016.31, 1.343859, -0.010047
A/swine/North_Carolina/A01671999/2017|1B.2.1|1998B|TTTTPT|2017-01-04, 2017.01, 1.346166, -0.010313
A/swine/Iowa/A01672419/2017|1B.2.1|1998B|TTTTPT|2017-01-18, 2017.05, 1.344628, -0.011998
A/swine/North_Carolina/A01476787/2014|1B.2.1|1998B|TTPTPT|2014-10-21, 2014.8, 1.336846, -0.011510
A/swine/Pennsylvania/A01671487/2016|1B.2.1|1998B|TTTTPT|2016-12-12, 2016.94, 1.350138, -0.006084
A/swine/Pennsylvania/A02035484/2015|1B.2.1|1998B|TTTTPT|2015-07-08, 2015.52, 1.339926, -0.011077
A/swine/Ohio/A01728547/2015|1B.2.1|1998B|TTTTPT|2015-12-24, 2015.97, 1.344611, -0.008046
A/swine/North_Carolina/A02077689/2015|1B.2.1|1998B|TTTTPT|2015-05-20, 2015.38, 1.339147, -0.011340
A/swine/North_Carolina/A01894401/2016|1B.2.1|1998B|TTTTPT|2016-03-28, 2016.24, 1.341476, -0.012173
A/swine/North_Carolina/A01944409/2015|1B.2.1|1998B|TTTTPT|2015-10-02, 2015.75, 1.339917, -0.011931
A/swine/Indiana/A01812028/2015|1B.2.1|1998B|TTTTPT|2015-10-20, 2015.79, 1.339920, -0.012075
A/swine/Iowa/A01782577/2016|1B.2.1|1998B|TTTTPT|2016-10-24, 2016.81, 1.343784, -0.011960
A/swine/Indiana/A02218760/2017|1B.2.1|1998B|TTTTPT|2017-08-03, 2017.58, 1.346884, -0.011690
A/swine/North_Carolina/A01732695/2016|1B.2.1|1998B|TTTTPT|2016-02-29, 2016.16, 1.350044, -0.003311
A/swine/North_Carolina/A01775740/2016|1B.2.1|1998B|TTTTPT|2016-05-23, 2016.39, 1.345325, -0.008876
A/swine/North_Carolina/A01781221/2016|1B.2.1|1998B|TTTTPT|2016-09-07, 2016.68, 1.344160, -0.011106
A/swine/North_Carolina/A01731606/2016|1B.2.1|1998B|TTTTPT|2016-02-08, 2016.1, 1.343010, -0.010124
A/swine/Illinois/A02429360/2019|1B.2.1|1998B|TTTTPT|2019-01-08, 2019.02, 1.363593, -0.000274
A/swine/North_Carolina/A01945949/2015|1B.2.1|1998B|TTTPPT|2015-10-27, 2015.81, 1.348671, -0.003397
A/swine/North_Carolina/A01668056/2016|1B.2.1|1998B|TTTPPT|2016-11-03, 2016.83, 1.361999, 0.006182
A/swine/Iowa/A02217289/2017|1B.2.1|1998B|TTTPPT|2017-06-14, 2017.45, 1.354879, -0.003217
A/swine/North_Carolina/A01778373/2016|1B.2.1|1998B|TTTPPT|2016-08-05, 2016.59, 1.351003, -0.003932
A/swine/North_Carolina/A02218894/2017|1B.2.1|1998B|TTTPPT|2017-08-10, 2017.6, 1.358020, -0.000627
A/swine/North_Carolina/A02269817/2018|1B.2.1|1998B|TTTPPT|2018-11-14, 2018.86, 1.362739, -0.000539
A/swine/North_Carolina/A01667104/2017|1B.2.1|1998B|TTPPPT|2017-03-07, 2017.18, 1.357958, 0.000854
A/swine/North_Carolina/A01796310/2015|1B.2.1|1998B|TTTPPT|2015-11-11, 2015.85, 1.351715, -0.000501
A/swine/North_Carolina/A01782003/2016|1B.2.1|1998B|TTTPPT|2016-10-03, 2016.75, 1.357132, 0.001609
A/swine/North_Carolina/A01777394/2016|1B.2.1|1998B|TTTPPT|2016-07-06, 2016.51, 1.354034, -0.000607
A/swine/North_Carolina/A01785530/2018|1B.2.1|1998B|TTTPPT|2018-04-28, 2018.32, 1.366585, 0.005291
A/swine/Indiana/A02636123/2021|1B.2.1|1998B|TTTTPT|2021-09-16, 2021.7, 1.369720, -0.003997
A/swine/Indiana/A02524877/2020|1B.2.1|1998B|TTTTPT|2020-11-05, 2020.84, 1.367394, -0.003163
A/swine/Indiana/A02524670/2020|1B.2.1|1998B|TTTTPT|2020-09-25, 2020.73, 1.367394, -0.002758
A/swine/Ohio/A02636465/2022|1B.2.1|1998B|TTTTPT|2022-02-02, 2022.09, 1.372057, -0.003093
A/swine/North_Carolina/A02138817/2017|1B.2.1|1998B|TTTPPT|2017-12-18, 2017.95, 1.359511, -0.000423
A/swine/Indiana/A02154756/2018|1B.2.1|1998B|TTTPPT|2018-02-18, 2018.13, 1.365329, 0.004733
A/swine/North_Carolina/A02218135/2017|1B.2.1|1998B|TTTPPT|2017-07-05, 2017.51, 1.360783, 0.002467
A/swine/Indiana/A01812295/2019|1B.2.1|1998B|TTTTPT|2019-08-25, 2019.64, 1.368782, 0.002637
A/swine/North_Carolina/A02427468/2018|1B.2.1|1998B|TTTPPT|2018-12-12, 2018.94, 1.364125, 0.000552
A/swine/North_Carolina/A02427689/2018|1B.2.1|1998B|TTTPPT|2018-12-18, 2018.95, 1.364898, 0.001289
A/swine/Pennsylvania/A02524849/2020|1B.2.1|1998B|TTTTPT|2020-10-30, 2020.82, 1.369560, -0.000923
A/swine/Indiana/A02635956/2021|1B.2.1|1998B|TTTPPT|2021-07-09, 2021.52, 1.371133, -0.001922
A/swine/North_Carolina/A02218906/2017|1B.2.1|1998B|TTTPPT|2017-08-09, 2017.6, 1.357173, -0.001474
A/swine/Indiana/A02158148/2018|1B.2.1|1998B|TTTPPT|2018-04-27, 2018.32, 1.357946, -0.003348
A/swine/Indiana/A02428118/2018|1B.2.1|1998B|TTTPPT|2018-12-18, 2018.95, 1.360273, -0.003337
A/swine/North_Carolina/A01785615/2018|1B.2.1|1998B|TTTPPT|2018-09-11, 2018.69, 1.359497, -0.003157
A/swine/North_Carolina/A02478556/2019|1B.2.1|1998B|TTTTPT|2019-06-19, 2019.46, 1.364140, -0.001344
A/swine/North_Carolina/A02478736/2019|1B.2.1|1998B|TTTTPT|2019-09-20, 2019.71, 1.363365, -0.003038
A/swine/Indiana/A02479119/2020|1B.2.1|1998B|TTTTPT|2020-03-05, 2020.18, 1.367239, -0.000892
A/swine/North_Carolina/A02478577/2019|1B.2.1|1998B|TTTTPT|2019-07-02, 2019.5, 1.364145, -0.001486
A/swine/North_Carolina/A02478805/2019|1B.2.1|1998B|TTTTPT|2019-10-28, 2019.82, 1.362592, -0.004215
A/swine/North_Carolina/A02478984/2020|1B.2.1|1998B|TTTTPT|2020-01-09, 2020.02, 1.368021, 0.000478
A/swine/North_Carolina/A02479114/2020|1B.2.1|1998B|TTTTPT|2020-03-03, 2020.17, 1.368793, 0.000699
A/swine/North_Carolina/A02525120/2021|1B.2.1|1998B|TTTTPT|2021-01-21, 2021.06, 1.369592, -0.001773
A/swine/South_Carolina/A02245688/2020|1B.2.1|1998B|TTTTPT|2020-08-14, 2020.61, 1.371106, 0.001395
A/swine/North_Carolina/A02245693/2020|1B.2.1|1998B|TTTTPT|2020-08-19, 2020.63, 1.369553, -0.000231
A/swine/North_Carolina/A02525038/2020|1B.2.1|1998B|TTTPPT|2020-12-31, 2020.99, 1.368339, -0.002768
A/swine/North_Carolina/A02636056/2021|1B.2.1|1998B|TTTPPT|2021-08-18, 2021.62, 1.369895, -0.003528
A/swine/North_Carolina/A02524949/2020|1B.2.1|1998B|TTTPPT|2020-12-10, 2020.93, 1.368337, -0.002550
A/swine/North_Carolina/A02525225/2021|1B.2.1|1998B|TTTPPT|2021-02-24, 2021.15, 1.370657, -0.001039
A/swine/North_Carolina/A02635975/2021|1B.2.1|1998B|TTTPPT|2021-07-13, 2021.53, 1.373752, 0.000659
A/swine/Iowa/A02635880/2021|1B.2.1|1998B|TTTPPT|2021-06-01, 2021.41, 1.373749, 0.001098
A/swine/Indiana/A02636294/2021|1B.2.1|1998B|TTTPPT|2021-10-01, 2021.74, 1.374542, 0.000678
A/swine/North_Carolina/A02524920/2020|1B.2.1|1998B|TTTPPT|2020-11-24, 2020.89, 1.369882, -0.000858
A/swine/North_Carolina/A02636346/2021|1B.2.1|1998B|TTTPPT|2021-12-31, 2021.99, 1.373763, -0.001020
A/swine/Indiana/A02636031/2021|1B.2.1|1998B|TTTPPT|2021-08-04, 2021.59, 1.372977, -0.000336
A/swine/North_Carolina/A01945861/2015|1B.2.1|1998B|TTTPPT|2015-10-15, 2015.78, 1.345341, -0.006618
A/swine/Iowa/A01781219/2016|1B.2.1|1998B|TTTPPT|2016-09-06, 2016.67, 1.351669, -0.003560
A/swine/Iowa/A01668659/2016|1B.2.1|1998B|TTTPPT|2016-11-23, 2016.88, 1.351669, -0.004332
A/swine/Iowa/A02172376/2018|1B.2.1|1998B|TTTPPT|2018-07-12, 2018.53, 1.360211, -0.001854
A/swine/Iowa/A02140816/2018|1B.2.1|1998B|TTTPPT|2018-01-09, 2018.02, 1.357719, -0.002472
A/swine/Iowa/A02266066/2018|1B.2.1|1998B|TTTPPT|2018-10-01, 2018.74, 1.357859, -0.004978
A/swine/Iowa/A02524417/2020|1B.2.1|1998B|TTTPPT|2020-06-11, 2020.44, 1.366407, -0.002679
A/swine/Minnesota/A02245742/2020|1A.1.1|1998B|TLLPPT|2020-10-12, 2020.77, 1.367197, -0.003102
A/swine/Minnesota/A01785961/2019|1B.2.1|1998B|TTTPPT|2019-02-19, 2019.13, 1.361728, -0.002543
A/swine/Illinois/A01778711/2016|1B.2.1|1998B|TTTPPT|2016-08-17, 2016.62, 1.348548, -0.006497
A/swine/Iowa/A02216716/2017|1B.2.1|1998B|TTTPPT|2017-06-16, 2017.45, 1.350098, -0.007999
A/swine/Iowa/A02223471/2017|1B.2.1|1998B|TTTPPT|2017-10-11, 2017.77, 1.353186, -0.006086
A/swine/Illinois/A02139356/2018|1B.2.1|1998B|TTTPPT|2018-01-03, 2018.01, 1.354768, -0.005387
A/swine/Illinois/A02270008/2018|1B.2.1|1998B|TTTPPT|2018-11-15, 2018.86, 1.355512, -0.007766
A/swine/Indiana/A01812300/2019|1B.2.1|1998B|TTTTPT|2019-12-23, 2019.97, 1.360152, -0.007206
A/swine/Illinois/A02479226/2020|1B.2.1|1998B|TTTTPT|2020-04-11, 2020.28, 1.360927, -0.007571
A/swine/Illinois/A02524473/2020|1B.2.1|1998B|TTTTPT|2020-06-26, 2020.48, 1.360927, -0.008306
A/swine/North_Carolina/A01672582/2017|1B.2.1|1998B|TTTTPT|2017-01-31, 2017.08, 1.351659, -0.005078
A/swine/Illinois/A01672615/2017|1B.2.1|1998B|TTTPPT|2017-01-30, 2017.08, 1.351659, -0.005078
A/swine/Iowa/A02157968/2018|1B.2.1|1998B|TTTPPT|2018-04-16, 2018.29, 1.358615, -0.002569
A/swine/Iowa/A02254797/2018|1B.2.1|1998B|TTTPPT|2018-08-02, 2018.58, 1.356284, -0.005965
A/swine/Iowa/A02257203/2018|1B.2.1|1998B|TTTPPT|2018-09-05, 2018.67, 1.360159, -0.002422
A/swine/Iowa/A02157004/2018|1B.2.1|1998B|TTTPPT|2018-03-27, 2018.24, 1.357064, -0.003935
A/swine/Minnesota/A02245176/2019|1B.2.1|1998B|TTTTPT|2019-06-12, 2019.44, 1.361729, -0.003682
A/swine/Iowa/A02254260/2018|1B.2.1|1998B|TTTPPT|2018-07-23, 2018.56, 1.359387, -0.002789
A/swine/Iowa/A02142465/2018|1B.2.1|1998B|TTTPPT|2018-02-07, 2018.1, 1.355513, -0.004972
A/swine/Minnesota/A02246987/2021|1B.2.1|1998B|TTTTPT|2021-11-03, 2021.83, 1.366412, -0.007783
A/swine/Minnesota/A02245741/2020|1B.2.1|1998B|TTTPPT|2020-10-09, 2020.76, 1.361712, -0.008550
A/swine/Minnesota/A02245788/2020|1B.2.1|1998B|TTTPPT|2020-11-17, 2020.87, 1.365579, -0.005087
A/swine/Minnesota/A02245868/2021|1B.2.1|1998B|TTTPPT|2021-01-07, 2021.02, 1.363255, -0.007963
A/swine/Iowa/A02524511/2020|1B.2.1|1998B|TTTPPT|2020-07-30, 2020.58, 1.366346, -0.003254
A/swine/Minnesota/A02636005/2021|1B.2.1|1998B|TTTPPT|2021-07-19, 2021.55, 1.370250, -0.002916
A/swine/Iowa/A02524736/2020|1B.2.1|1998B|TTTPPT|2020-10-13, 2020.78, 1.363254, -0.007081
A/swine/Minnesota/A02246989/2021|1B.2.1|1998B|TTTPPT|2021-11-10, 2021.85, 1.364836, -0.009433
A/swine/Minnesota/A02245658/2020|1B.2.1|1998B|TTTPPT|2020-05-20, 2020.38, 1.360963, -0.007902
A/swine/Pennsylvania/A02525330/2021|1B.2.1|1998B|TTTPPT|2021-04-01, 2021.25, 1.366380, -0.005683
A/swine/Iowa/A02524777/2020|1B.2.1|1998B|TTTPPT|2020-10-23, 2020.8, 1.365606, -0.004803
A/swine/Iowa/A02524574/2020|1B.2.1|1998B|TTTPPT|2020-08-26, 2020.65, 1.365606, -0.004252
A/swine/Iowa/A02635937/2021|1B.2.1|1998B|TTTPPT|2021-06-28, 2021.49, 1.366381, -0.006565
A/swine/Iowa/A02525110/2021|1B.2.1|1998B|TTTPPT|2021-01-27, 2021.07, 1.365602, -0.005799
A/swine/Minnesota/A02246456/2021|1B.2.1|1998B|TTTPPT|2021-07-20, 2021.55, 1.366372, -0.006793
A/swine/Iowa/A02524677/2020|1B.2.1|1998B|TTTPPT|2020-09-29, 2020.74, 1.365608, -0.004581
A/swine/Pennsylvania/A02524908/2020|1B.2.1|1998B|TTTPPT|2020-11-18, 2020.87, 1.367981, -0.002685
A/swine/Iowa/A02636049/2021|1B.2.1|1998B|TTTPPT|2021-08-12, 2021.61, 1.367157, -0.006230
A/swine/South_Dakota/A02636513/2022|1B.2.1|1998B|TTTPPT|2022-02-22, 2022.14, 1.372661, -0.002673
A/swine/Wisconsin/A02524765/2020|1B.2.1|1998B|TTTPPT|2020-10-21, 2020.8, 1.368720, -0.001689
A/swine/Pennsylvania/A02636177/2021|1B.2.1|1998B|TTTPPT|2021-09-21, 2021.72, 1.375008, 0.001217
A/swine/Minnesota/A02245884/2021|1B.2.1|1998B|TTTPPT|2021-02-15, 2021.12, 1.366367, -0.005218
A/swine/Minnesota/A02245517/2020|1B.2.1|1998B|TTTPPT|2020-02-28, 2020.16, 1.365575, -0.002481
A/swine/Minnesota/A02635978/2021|1B.2.1|1998B|TTTPPT|2021-07-15, 2021.53, 1.370222, -0.002870
A/swine/Minnesota/A02245819/2020|1B.2.1|1998B|TTTPPT|2020-12-02, 2020.91, 1.367115, -0.003699
A/swine/Minnesota/A02246999/2021|1B.2.1|1998B|TTTPPT|2021-11-22, 2021.88, 1.369453, -0.004925
A/swine/Minnesota/A02245328/2019|1B.2.1|1998B|TTTPPT|2019-11-11, 2019.85, 1.363265, -0.003653
A/swine/Minnesota/A02524420/2020|1B.2.1|1998B|TTTPPT|2020-06-04, 2020.42, 1.366354, -0.002659
A/swine/Minnesota/A02245706/2020|1B.2.1|1998B|TTTPPT|2020-07-30, 2020.58, 1.365583, -0.004018
A/swine/Minnesota/A02245679/2020|1B.2.1|1998B|TTTPPT|2020-07-02, 2020.5, 1.367918, -0.001388
A/swine/Minnesota/A02245719/2020|1B.2.1|1998B|TTTPPT|2020-09-28, 2020.73, 1.366393, -0.003758
A/swine/Minnesota/A02248190/2021|1B.2.1|1998B|TTTPPT|2021-08-23, 2021.64, 1.372584, -0.000912
A/swine/Iowa/A02478640/2019|1B.2.1|1998B|TTTPPT|2019-08-30, 2019.66, 1.362507, -0.003712
A/swine/Iowa/A02478752/2019|1B.2.1|1998B|TTTPPT|2019-10-09, 2019.76, 1.364834, -0.001753
A/swine/Iowa/A02524503/2020|1A.1.1|1998B|TTTPPT|2020-07-30, 2020.58, 1.369512, -0.000088
A/swine/Iowa/A02524493/2020|1B.2.1|1998B|TTTPPT|2020-07-10, 2020.52, 1.364821, -0.004559
A/swine/Iowa/A02524431/2020|1B.2.1|1998B|TTTPPT|2020-06-12, 2020.44, 1.366367, -0.002719
A/swine/Iowa/A02525380/2021|1B.2.1|1998B|TTTPPT|2021-04-13, 2021.28, 1.370245, -0.001928
A/swine/Iowa/A02635765/2021|1B.2.1|1998B|TTTPPT|2021-04-27, 2021.32, 1.370993, -0.001327
A/swine/Minnesota/A02245866/2021|1B.2.1|1998B|TTTPPT|2021-01-05, 2021.01, 1.368663, -0.002518
A/swine/Iowa/A02524886/2020|1B.2.1|1998B|TTTPPT|2020-11-09, 2020.85, 1.367121, -0.003472
A/swine/Iowa/A02524985/2020|1B.2.1|1998B|TTTPPT|2020-12-14, 2020.94, 1.367893, -0.003031
A/swine/Minnesota/A02245193/2019|1B.2.1|1998B|TTTPPT|2019-07-02, 2019.5, 1.362495, -0.003136
A/swine/Iowa/A02478928/2019|1B.2.1|1998B|TTTPPT|2019-12-02, 2019.91, 1.362494, -0.004644
A/swine/Iowa/A02478598/2019|1B.2.1|1998B|TTTPPT|2019-07-23, 2019.56, 1.363265, -0.002586
A/swine/Minnesota/A02245858/2020|1B.2.1|1998B|TTTPPT|2020-12-17, 2020.95, 1.365581, -0.005380
A/swine/Minnesota/A02525359/2021|1B.2.1|1998B|TTTPPT|2021-04-08, 2021.27, 1.372585, 0.000448
A/swine/Iowa/A02525189/2021|1B.2.1|1998B|TTTPPT|2021-02-17, 2021.13, 1.367122, -0.004500
A/swine/Iowa/A02635863/2021|1B.2.1|1998B|TTTPPT|2021-06-04, 2021.42, 1.367124, -0.005564
A/swine/Iowa/A02524565/2020|1B.2.1|1998B|TTTPPT|2020-08-25, 2020.64, 1.367124, -0.002697
